Title,Overview,Release Date,Vote Average,Vote Count,Runtime,Budget,Revenue,Popularity,Production Countries,Production Companies,Genres
Krisha,"When Krisha returns to her estranged family for Thanksgiving dinner, past demons threaten to ruin the festivities.",2016-03-18,6.8,170,81,0,144822,8.055,['United States of America'],['Hoody Boy Productions'],['Drama']
Beyond the Gates,"Two estranged brothers reunite at their missing father's video store to liquidate the property and sell off his assets. As they dig through the store, they find a VCR board game titled 'Beyond the Gates' that holds a connection to their father's disappearance and deadly consequences for anyone who plays it.",2016-12-09,5.041,169,84,300000,0,7.001,['United States of America'],"['Lodger Films', 'Easy Open Productions', 'Thunder Warrior Productions', 'Destroy All Entertainment']","['Adventure', 'Horror']"
Love Everlasting,"Bridger is a young outsider who's always wanted more. He and his mother flee an abusive home, eventually finding a small town in the middle of nowhere. Once there, Bridger finds true acceptance with another misfit.",2016-11-14,7.497,168,92,0,0,13.617,['United States of America'],['Rob Diamond Films'],"['Drama', 'Romance']"
The Greasy Strangler,"Ronnie runs a Disco walking tour with his son, Brayden. When a sexy woman takes the tour, it begins a competition between father and son for her love. It also signals the arrival of an oily strangler who stalks the streets at night.",2016-06-03,5.668,167,93,0,0,10.972,['United States of America'],"['Timpson Films', 'SpectreVision', 'Drafthouse Films', 'Rook Films']","['Comedy', 'Horror', 'Thriller']"
Frank & Lola,A talented Las Vegas chef falls in love with an aspiring fashion designer but turns violently jealous when he realizes that she's hiding dark secrets.,2016-12-09,5.566,166,88,0,9188,12.407,['United States of America'],"['Killer Films', 'Parts and Labor', 'FullDawa Films']","['Drama', 'Mystery', 'Romance']"
Zoombies,"When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city.",2016-04-29,5.152,165,90,0,0,13.08,['United States of America'],['The Asylum'],"['Science Fiction', 'Action', 'Horror']"
Summer Camp,"A group of people have just signed up to be camp Councillors at a foreign country.  They expect the camp to be the place for a memorable summer.  Instead, something strange is going on and some of the campers begin to act strange.  Things go terribly wrong real fast as a terrible game of tag has the campers running for their lives or going after the campers.",2016-03-18,5.539,165,81,0,0,8.211,"['Spain', 'United States of America']","['Filmax Group', 'Castelao Pictures', 'Somnium Films']",['Horror']
Eliminators,"A former US Federal Agent must abandon the witness protection program and come out of hiding when his London home is invaded in error due to a wrong address. When the event ends with multiple homicides, the news triggers those hunting him to send Europe's most dangerous assassin to kill him. Now on the run with his daughters life in jeopardy, a determined father must get her to safety before the people he's been hiding from tracks him down.",2016-12-06,6.341,164,95,0,0,13.345,"['United Kingdom', 'United States of America']","['WWE Studios', 'Tea Shop & Film Company', 'Voltage Pictures']",['Action']
Priceless,"James, down on his luck and desperate for some quick cash, agrees to drive a small truck across country. He soon realizes that he's made a huge mistake and has inadvertently become involved in a dangerous human trafficking ring. The unlikely hero risks it all to shut down the trafficking ring and save the woman he is falling in love with.",2016-10-14,7.082,164,97,0,0,10.314,['United States of America'],"['Radiate Films', 'for KING & COUNTRY', 'Kingdom Moving Pictures', 'Roadside Attractions', 'Smallbone Brothers']","['Drama', 'Romance', 'Crime']"
Mower Minions,"The Minions need to raise $20 to purchase an as seen on TV banana blender. So they take up lawn mowing at an old folks home, with hilarious antics!",2016-07-08,6.546,163,4,0,0,8.441,"['France', 'United States of America']",['Illumination'],"['Comedy', 'Animation']"
Dead Rising: Endgame,Investigative reporter Chase Carter must stop a secret government conspiracy in the zombie infested quarantine zone of East Mission City.,2016-06-20,5.095,163,96,0,0,8.967,['United States of America'],"['Contradiction Films', 'Legendary Digital Media', 'DR2 Productions']","['Action', 'Horror']"
A Quiet Passion,"The story of American poet Emily Dickinson from her early days as a young schoolgirl to her later years as a reclusive, unrecognized artist.",2016-10-07,6.11,163,125,8138338,1864266,8.087,"['Belgium', 'United States of America', 'United Kingdom']","['Potemkino', 'Hurricane Films', 'Indomitable Entertainment']",['Drama']
Ali Wong: Baby Cobra,"Ali Wong might be seven-months pregnant, but there’s not a fetus in the world that can stop this acerbic and savage train of comedy from delivering a masterful hour of stand-up.",2016-05-06,7.238,160,60,0,0,7.488,['United States of America'],['New Wave Entertainment'],['Comedy']
Weiner,"Documentary featuring a jaw-dropping, behind-the-scenes look at the attempted comeback of Anthony Weiner in 2013 as he mounts a campaign for New York City mayor in the wake of his sexting scandal. Featuring unfettered access to the candidate and his campaign.",2016-05-20,7.336,159,96,0,0,5.651,['United States of America'],"['Motto Pictures', 'Edgeline Films']",['Documentary']
The Hollow Point,"Los Reyes County, Arizona. Leland, a retired lawman, works with Wallace, the new sheriff who replaces him, when a vicious hit man, sent by a Mexican drug cartel, threatens their border small town.",2016-12-16,5.906,159,94,0,1271880,10.41,['United States of America'],"['Atlas Independent', 'Vertical Entertainment', 'MICA Entertainment']","['Action', 'Drama', 'Thriller', 'Western']"
For the Love of Spock,"The life of Star Trek's Mr. Spock — as well as that of Leonard Nimoy, the actor who played Mr. Spock for almost fifty years —written and directed by his son, Adam.",2016-09-09,7.4,158,105,0,0,11.769,"['Canada', 'United States of America']",['455 Films'],['Documentary']
Edge of Winter,"When two brothers are stranded by a brutal winter storm with an unpredictable father they barely know, the boys begin to suspect their supposed protector may be their biggest threat.",2016-07-31,5.774,156,89,0,0,13.709,"['United States of America', 'Canada']","['Independent Edge Films', 'JoBro Productions']","['Drama', 'Thriller']"
Diablo,A young civil war veteran is forced on a desperate journey to save his kidnapped wife.,2016-01-08,4.856,156,83,0,0,10.883,"['Canada', 'United States of America']","['Space Rock Studios', 'Diablo Movie']","['Action', 'Adventure', 'Thriller', 'Western']"
Barbie: Star Light Adventure,"Barbie is a cosmic princess who flies high on her hoverboard through a far-off universe with her adorable and devoted pet sidekick, Pupcorn. One day, everything changes when the twinkling stars start to dim and slow their dance in the sky. Barbie travels to a beautiful new planet to join a special rescue team on a mission to save the stars. Once there, she teams up with a group of talented new friends who work together to save the galaxy through exciting hoverboarding adventures. Barbie soon discovers that if she listens to her heart, and with the help of her friends, she might be the leader the whole universe has been waiting for!",2016-08-12,7.0,155,79,0,0,15.318,['United States of America'],['Universal Pictures'],"['Animation', 'Family', 'Science Fiction']"
Daylight's End,"Years after a mysterious plague has devastated the planet and turned most of humanity into blood-hungry creatures, a rogue drifter on a vengeful hunt stumbles across a band of survivors in an abandoned police station and reluctantly agrees to try to help them defend themselves and escape to the sanctuary they so desperately need.",2016-04-16,5.828,154,120,2000000,0,12.076,['United States of America'],"['Carolina Film Works', 'Indigo Pictures', 'Throttle Films']","['Action', 'Horror', 'Science Fiction']"
The Intervention,A weekend getaway for four couples takes a sharp turn when one of the couples discovers the entire trip was orchestrated to host an intervention on their marriage.,2016-08-26,5.8,152,90,0,0,8.699,['United States of America'],['Burn Later Productions'],"['Comedy', 'Drama']"
Hairspray Live!,A teenage girl living in Baltimore in the early 1960s dreams of appearing on a popular TV dance show.,2016-12-07,7.275,151,120,0,0,7.069,['United States of America'],"['NBC Productions', 'Universal Television', 'New Line Television', 'Storyline Entertainment', 'Sony Pictures Television Studios', 'Warner Bros. Television']","['Romance', 'Comedy', 'Drama', 'TV Movie']"
Last Days in the Desert,"On his way out of the wilderness, Jesus struggles with the Devil over the fate of a family in crisis, setting himself up for a dramatic test.",2016-05-13,5.709,151,98,0,0,14.988,['United States of America'],"['Ironwood Entertainment', 'Mockingbird Pictures', 'Division Films']","['Adventure', 'Drama', 'History']"
Mercy,"Brought together at their childhood home over their dying mother, an estranged family is thrust into a deadly fight for their own survival.",2016-06-04,4.267,150,82,0,0,7.332,['United States of America'],['XYZ Films'],['Thriller']
Born in China,"Venturing into the wilds of China, ""Born in China"" captures intimate moments with a panda bear and her growing cub, a young golden monkey who feels displaced by his baby sister, and a mother snow leopard struggling to raise her two cubs.",2016-08-12,7.29,150,76,0,0,8.118,"['China', 'United Kingdom', 'United States of America']","['Disneynature', 'Chuan Films']",['Documentary']
Complete Unknown,"Tom’s birthday dinner party is turned upside down by the unexpected arrival of Alice, an old flame who changed her identity and vanished without a trace 15 years prior.",2016-08-26,5.128,149,90,0,187145,8.12,['United States of America'],"['Great Point Media', 'Parts and Labor', 'Heron Television']","['Drama', 'Mystery', 'Thriller']"
Lemonade,"The second ""visual album"" (a collection of short films) by Beyoncé, this time around she takes a piercing look at racial issues and feminist concepts through a sexualized, satirical, and solemn tone.",2016-04-23,8.497,147,65,0,0,9.131,['United States of America'],['Parkwood Entertainment'],"['Music', 'TV Movie']"
The Remains,"After a family moves into an old Victorian home, they discover a chest in the attic containing antiques tainted by a malevolent spirit. As the antiques slowly possess each family member, the spirit grows stronger, hellbent on kidnapping the children.",2016-08-05,4.675,146,85,0,0,9.73,['United States of America'],"['EBF Productions', 'Diablo Entertainment']","['Horror', 'Thriller']"
Sam Was Here,"California, Mojave Desert, 1998. A strange glow appears in the sky. Sam, a forty-something door-to-door salesman, travels through the few inhabited zones of the Californian desert in search of clients.",2016-09-27,5.375,144,75,0,0,15.173,"['France', 'United States of America']","['Nightcall Productions', 'KuroKitsu', 'Vixens', 'Firm Studio', 'Benzene Music']","['Horror', 'Mystery', 'Thriller']"
The Stakelander,"When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.",2016-10-14,5.771,144,85,0,0,10.485,"['Canada', 'United States of America']","['Berserker Entertainment', 'Glass Eye Pix', 'Last Pictures']","['Action', 'Horror']"
The Childhood of a Leader,The chilling story of a young American boy living in France in 1918 whose father is working for the US government on the creation of the Treaty of Versailles. What he witnesses helps to mold his beliefs – and we witness the birth of a terrifying ego.,2016-07-22,6.3,143,116,3000000,0,8.799,"['Belgium', 'Canada', 'France', 'Hungary', 'United Kingdom', 'United States of America']","['Hepp Film', 'Bow + Arrow Entertainment', 'Filmteam', 'Bron Capital Partners']",['Drama']
A December Bride,"Aspiring interior designer Layla is dreading the Christmastime wedding of her cousin who’s marrying Layla’s ex-fiancé. Although Seth is the one responsible for introducing the bride and groom, she begrudgingly accepts his offer to be her date as she’s out of options. Seth gets carried away at the reception and announces they’re engaged, forcing a mortified Layla to keep up the pretense.",2016-11-20,7.092,142,84,0,0,7.438,"['Canada', 'United States of America']","['Annuit Coeptis Entertainment II', 'Johnson Production Group']","['Romance', 'TV Movie']"
Little Men,"Jake is a quiet, sensitive middle schooler with dreams of being an artist. He meets the affably brash Tony at his grandfather's funeral, and the unlikely pair soon hit it off. The budding friendship is put at risk, however, when a rent dispute between Jake's father, Brian, and Tony's mother, Leonor, threatens to become contentious.",2016-08-05,6.57,142,85,0,0,9.726,"['Brazil', 'Greece', 'United States of America']","['Race Point Films', 'Faliro House Productions', 'Charlie Guidance Productions', 'Parts and Labor', ""Water's End Productions"", 'RT Features']",['Drama']
Phantasm: Ravager,"Brothers Mike and Jody join family friend Reggie to battle the Tall Man and his evil minions from another dimension, for the final time.",2016-10-07,4.926,142,87,0,0,12.611,['United States of America'],['Silver Sphere Corporation'],"['Horror', 'Fantasy', 'Action', 'Science Fiction']"
1 Night,"Thirty-something Elizabeth must decide whether to salvage her disappointing relationship with Drew. Meanwhile, Bea, a worrisome teenager, reconnects with her introverted childhood friend, Andy, at their high school prom. Past and present collide as two couples explore love over the course of one night at a hotel.",2016-10-14,6.291,141,80,0,0,6.028,['United States of America'],"['Sorrento Productions', 'Canosa Productions']","['Drama', 'Romance']"
Bakery in Brooklyn,"Brooklyn, New York. After the sudden death of their aunt Isabelle, Vivien and Chloe inherit her historic bakery. Vivien wants to keep up the tradition; Chloe feels that the business needs to be modernized. But when notified that they are about to be evicted, the two do not hesitate to work together to preserve the family legacy.",2016-06-30,5.3,141,101,4218000,0,9.943,"['Spain', 'United States of America']","['La Canica Films', 'El Capitán Pictures', 'TVE', 'New Bakery Productions', 'Bullet Pictures']","['Comedy', 'Romance']"
They're Watching,"An American TV crew gets trapped in a centuries-old web of revenge, horror, and blood, when their home improvement show is attacked by angry Eastern European villagers out to kill the show's star.",2016-03-25,5.6,141,95,3650000,0,6.936,"['Romania', 'United States of America']","['Buffalo 8', 'Best Served Cold Productions']","['Thriller', 'Comedy', 'Horror']"
Confirmation,"Judge Clarence Thomas' nomination to the United States' Supreme Court is called into question when former colleague, Anita Hill, testifies that he had sexually harassed her.",2016-04-16,6.82,140,110,0,0,8.017,['United States of America'],"['Groundswell Productions', 'HBO Films', 'Simpson Street', 'ABC Signature']","['Drama', 'History', 'TV Movie']"
In Dubious Battle,"In the California apple country, 900 migratory workers rise 'in dubious battle' against the landowners. The group takes on a life of its own—stronger than its individual members, and more frightening. Led by the doomed Jim Nolan, the strike is founded on his tragic idealism—'courage, never submit, or yield'.",2016-10-08,5.9,139,110,10000000,0,10.319,['United States of America'],"['Thats Hollywood', 'Rabbit Bandini Productions', 'AMBI Group']",['Drama']
De Palma,"An intimate conversation between filmmakers, chronicling De Palma’s 55-year career, his life, and his filmmaking process, with revealing anecdotes and, of course, a wealth of film clips.",2016-06-10,7.101,138,108,0,0,6.447,['United States of America'],"['Boxmotion', 'Empire Ward']",['Documentary']
Home Invasion,"Terror arrives at the one place we all feel safest... When a wealthy woman, Chloe, and her stepson, Jacob, are targeted by a trio of expert thieves in their remote mansion, her only form of help comes from a call with Mike, a security systems specialist. But as the intruders become increasingly hostile and the connection wavers, will she trust him to be her eyes and navigate her to safety?",2016-02-02,5.42,137,88,0,0,9.786,"['Canada', 'United States of America']","['ARO Entertainment', 'Odyssey Media', 'TAJJ Media']","['Thriller', 'Drama', 'Crime', 'TV Movie']"
Lady Bloodfight,"Jane is a beautiful but troubled American girl backpacking through Japan, when her raw street fighting skills draw the attention of Oshima, Japanese karate champion, who recruits and trains her to fight in the vicious, all-female, underground martial arts tournament known as ""The Kumite"". After months of rigorous preparation, Jane is ready to face off against the deadliest female fighters in the world, including Ling, the Chinese apprentice of Oshima's nemesis. But other nefarious forces lie in the shadows, and Jane and Ling will have to unite on a journey that will take them from the gritty underworld of Hong Kong to the glitz of Macao, before deciding who really is the best female fighter on the planet.",2016-11-11,6.6,137,97,0,0,13.008,"['Hong Kong', 'United States of America']","['B&E Productions', 'Voltage Pictures']","['Action', 'Thriller']"
We Go On,"Paralyzed by his fear of dying, Miles Grissom takes out an advert offering 30000 dollars in reward money to the first person who can show him evidence of an angel, a demon, or prove that ghosts exist - anything to prove to him that we go on after our deaths. He narrows the responses down to three viable candidates - a scientist, a medium, and a worldly entrepreneur. Along with his protective mother, he embarks on an adventure through Los Angeles that will spiral into an unthinkable nightmare.",2016-03-05,5.702,136,89,0,0,6.948,['United States of America'],['Filmed Imagination'],"['Drama', 'Horror', 'Thriller']"
The Comedian,"An aging comic icon, Jackie Burke, has seen better days. Despite his efforts to reinvent himself and his comic genius, the audience only wants to know him as the former television character he once played. Already a strain on his younger brother and his wife, Jackie is forced to serve out a sentence doing community service for accosting an audience member. While there, he meets Harmony, the daughter of a sleazy Florida real estate mogul, and the two find inspiration in one another, resulting in surprising consequences.",2016-12-09,5.659,135,120,15000000,0,7.303,['United States of America'],"['Anvil Films', 'Cinelou Films', 'The Linson Company']",['Comedy']
First Girl I Loved,"Seventeen-year-old Anne just fell in love with Sasha, the most popular girl at her L.A. public high school. But when Anne tells her best friend, Clifton—who has always harbored a secret crush on her—he does his best to get in the way.",2016-10-18,6.31,134,91,0,0,12.068,['United States of America'],"['Bee-Hive Productions', 'PSH Collective', 'Tilted Windmill Productions']","['Drama', 'Romance']"
Abattoir,A reporter unearths an urban legend about a home being constructed from rooms where horrific tragedies have occurred.,2016-11-24,4.42,131,98,0,0,10.336,['United States of America'],"['Radical Pictures', 'Dark Web Productions', 'Les Enfants Terribles', 'Luminary Entertainment', 'Pacific Bridge Pictures']","['Horror', 'Thriller']"
"Life, Animated","At three years old, a chatty, energetic little boy named Owen Suskind ceased to speak, disappearing into autism with apparently no way out. Almost four years passed and the only stimuli that engaged Owen were Disney films. Then one day, his father donned a puppet—Iago, the wisecracking parrot from Aladdin—and asked “what’s it like to be you?” And poof! Owen replied, with dialogue from the movie. Life, Animated tells the remarkable story of how Owen found in Disney animation a pathway to language and a framework for making sense of the world.",2016-07-01,7.5,128,91,0,0,9.529,['United States of America'],"['A&E IndieFilms', 'Motto Pictures', 'Roger Ross Williams Productions']",['Documentary']
Jessica Darling's It List,"Jessica Darling – a smart, witty, opinionated girl heading into 7th grade – was never too concerned about where she'd fit in the middle school hierarchy. But before her first day of school, her older sister — the super popular Bethany, now in college—decides to help out by giving her the “It List”—a cheat sheet on how to navigate the middle school maze and rise to the top of the popularity chain. The instructions appear simple enough to follow, but, like life, nothing is as easy as it seems.",2016-06-21,5.879,128,79,0,0,13.077,['United States of America'],"['MPS Group', 'MarVista Entertainment']",['Family']
Patient Seven,"The film centers on Dr. Marcus, a renowned psychiatrist who has selected 6 severe mentally ill and dangerous patients from the Spring Valley Mental Hospital to interview as part of research for his new book. As Dr. Marcus interviews each patient, one by one the horrors they have committed begin to unfold. However, Dr. Marcus soon learns that there is one patient who ties them all together - Patient Seven.",2016-10-11,5.103,126,116,0,0,7.422,['United States of America'],['Terror Films'],"['Thriller', 'Horror']"
Dead Awake,"Kate Bowman (Jocelin Donahue) is an average social worker who, after the sudden death of her twin sister, is investigating the mysterious deaths of other people who died in their sleep. Shortly before their deaths, the victims all reported a supernatural force that appeared to them while they were suffering from sleep paralysis. When Kate investigates further into the case, she opens herself up to the creature's wrath and soon finds herself and her family suffering from an ancient evil.",2016-09-28,5.1,126,99,0,0,7.965,['United States of America'],"['Incendiary Features', 'Gama Entertainment Partners', 'Aristar Entertainment']","['Horror', 'Thriller']"
Barbie & Her Sisters in a Puppy Chase,"Barbie and her sisters go to an island paradise for a dance competition, but they must work together as a team to find their pets after their furry friends go missing at a horse festival.",2016-10-04,6.856,125,75,0,0,14.667,['United States of America'],"['Mattel Playground Productions', 'Rainmaker Entertainment']","['Family', 'Animation']"
LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,"The caped crusader reluctantly agrees to let Batgirl and Nightwing take him on a long overdue vacation from crime-fighting, while Superman and the Justice League watch over Gotham City.",2016-06-21,6.878,123,78,0,0,13.886,['United States of America'],"['Warner Bros. Animation', 'DC Entertainment', 'DC Comics', 'LEGO']","['Animation', 'Family', 'Adventure', 'Action', 'Comedy']"
Rampage: President Down,"Bill Williamson is back, alive and well and doing a recon mission around D.C. This time he wants to cause a major population disruption within the USA which result in devastating consequences reverberating throughout the world. His new mission this time to bring down The President of the United States and his Secret Service detail. Bill brings with him all the freak-in havoc and acidity of the previous 2 movies.",2016-08-26,5.4,123,99,0,0,10.437,"['United States of America', 'Canada']",['Event Film Distribution'],"['Action', 'Thriller', 'Crime']"
Kicks,"When his hard-earned kicks get snatched by a local hood, fifteen-year old Brandon and his two best friends go on an ill-advised mission across the Bay Area to retrieve the stolen sneakers.",2016-09-09,6.675,123,80,0,0,7.241,['United States of America'],"['Bystorm Films', 'Animal Kingdom', 'Bow + Arrow Entertainment', 'Northern Lights Films', 'Focus Features']","['Drama', 'Crime', 'Action']"
Finding Altamira,"The story of nine-year old Maria and her father Marcelino who, in 1879, found the first pre-historic cave paintings at the now world famous Altamira cave.",2016-04-01,5.7,122,97,8500000,0,9.643,"['France', 'Spain', 'United States of America']","['Morena Films', 'Movistar+', 'TVE', 'Mare Nostrum Productions', 'Myriad Pictures', 'Telefónica Studios', '20th Century Fox', 'Fox International Productions Spain']","['Drama', 'History']"
ClownTown,Whilst on their way to a concert four friends get sidetracked and stranded in a seemingly abandoned town and whilst looking for help find themselves stalked and terrorised by a gang of violent clown dressed psychopaths who will stop at nothing ensnaring them into their sinister blood thirsty games.,2016-06-27,4.38,121,86,0,0,7.284,['United States of America'],"['Millman Productions', 'Zorya Films', 'Steel House Productions']","['Horror', 'Thriller']"
Always Shine,"On a trip to Big Sur, two friends, both actresses, try to reconnect with one another. Once alone, the women's suppressed jealousies and deep-seated resentments begin to rise, causing them to lose their grasp on not only the true nature of their relationship, but also their identities.",2016-11-25,5.343,121,85,0,0,10.585,['United States of America'],"['Salem Street Entertainment', 'Nice Dissolve', 'Little Teeth Pictures', 'Reality Pictures', 'Balaboosta Pictures', 'Visit Films', 'Oscilloscope']","['Thriller', 'Drama', 'Horror', 'Mystery']"
Jim Jefferies: Freedumb,"Returning for a second Netflix comedy special, Jim Jefferies unleashes his famously ferocious black humor to a packed house in Nashville, Tennessee.",2016-07-01,7.183,120,86,0,0,5.564,['United States of America'],['Irwin Entertainment'],['Comedy']
Natural Selection,Tyler is a young man who is desperately seeking direction from a world that seems to have abandoned him. Searching for answers he looks to his new friend Indrid who appears to have it all figured out.,2016-08-26,5.3,120,100,0,0,8.647,['United States of America'],"['2 Die 4 Films', 'Modoc Spring']",['Drama']
The Young Messiah,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.",2016-03-10,6.429,120,120,18500000,6490401,14.996,['United States of America'],['Focus Features'],"['Drama', 'History']"
Monster High: Welcome to Monster High,"Monsters once lived in hiding—even from each other—because they were afraid they would be in danger if humans knew they existed. But Draculaura, the daughter of Dracula, along with her best ghoulfriends, dreamt of a school where everyone was welcome and accepted for who they are. Determined to make their dream come true, the ghouls travel the world on an epic adventure to recruit new students. But even in this amazing place, there's drama: a villainess zombie is spreading trouble rather than friendship, and every student must live with the fear that their secret will be revealed. Now the ghouls must save their school so that every monster has a place where they belong and their uniqueness is celebrated!",2016-08-27,6.874,119,73,0,0,13.086,['United States of America'],['Appa Productions'],"['Animation', 'Family']"
The Transfiguration,"When troubled teen Milo, who has a fascination with vampire lore, meets the equally alienated Sophie, the two form a bond that begins to blur Milo's fantasy into reality.",2016-04-14,6.021,119,97,0,22091,12.421,['United States of America'],['Transfiguration Productions'],"['Horror', 'Drama']"
Team Foxcatcher,"With never-before seen home video, this film recounts the paranoid downward spiral of John E. du Pont and the murder of Olympic wrestler Dave Schultz.",2016-04-18,7.03,118,91,0,0,5.897,['United States of America'],[],['Documentary']
LEGO DC Comics Super Heroes: Justice League: Cosmic Clash,"Earth, a shiny jewel floating in the blackness of space... and for the robot known as Brainiac, the last piece to capture for his collection of planets. Not if the Justice League has anything to say about it!",2016-02-16,6.407,118,78,0,0,17.606,['United States of America'],"['Warner Bros. Animation', 'DC Entertainment', 'LEGO', 'DC Comics']","['Action', 'Adventure', 'Animation', 'Comedy', 'Family']"
The Drowning,"A psychiatrist faces his past, present and future when he finds himself involved in the treatment of a young man recently released from prison for a murder committed when the boy was just 11 years old.",2016-10-08,4.496,117,95,0,0,9.044,['United States of America'],['The Film Community'],"['Drama', 'Thriller']"
Chalk It Up,"When a super girly-girl is dumped by her boyfriend; she decides to do everything she can to get him back by building a college gymnastics team, quickly learning that she is capable of a lot more than just getting an MRS degree.",2016-09-13,5.175,117,90,0,0,6.771,['United States of America'],['Gravitas Ventures'],['Comedy']
Girl in the Box,"A hitchhiking woman is abducted by a young couple and held captive for seven years, during which time she's tortured and forced to live as a slave to her captors.",2016-09-10,6.733,116,87,20,0,12.608,['United States of America'],[],['Drama']
Gimme Danger,"No other band in rock'n'roll history has rivaled The Stooges' combination of heavy primal throb, spiked psychedelia, blues-a-billy grind, complete with succinct angst-ridden lyrics, and a snarling, preening leopard of a frontman who somehow embodies Nijinsky, Bruce Lee, Harpo Marx, and Arthur Rimbaud all rolled into one. There is no precedent for The Stooges, while those inspired by them are now legion.  The film will present the context of their emergence musically, culturally, politically, historically, and relate their adventures and misadventures while charting their inspirations and the reasons behind their initial commercial challenges, as well as their long-lasting legacy.",2016-10-28,6.815,116,108,0,0,7.89,['United States of America'],[],"['Music', 'Documentary']"
Mojave,"A suicidal artist goes into the desert, where he finds his doppelgänger, a homicidal drifter.",2016-01-22,5.056,116,93,0,0,10.431,['United States of America'],"['Atlas Independent', 'Henceforth Pictures', 'MICA Entertainment', 'Highland Film Group']",['Thriller']
The Offering,"When young and successful reporter Jamie finds out that her sister has died in mysterious circumstances, she travels to Singapore to uncover the truth. There, she discovers multiple deaths linked to her sister's and must join forces with her sister's husband in order to defeat a demonic entity that is using new technology to complete an ancient mission.",2016-05-06,5.283,115,95,0,261895,10.167,"['Singapore', 'United States of America']","['Boku Films', 'Boku Films Pte Limited', 'PEP Pictures']","['Mystery', 'Thriller', 'Horror']"
Mean Dreams,"When two youngsters meet and fall for each other, they must go on the run from the girl's corrupt father, who is also the sheriff of the town.",2016-10-21,6.4,113,108,0,0,8.011,"['Canada', 'United States of America']","['JoBro Productions', 'Euclid 431 Pictures', 'Woods Entertainment']","['Drama', 'Thriller']"
Havenhurst,A troubled young woman takes up residence in a gothic apartment building where she must confront a terrifying evil.,2016-08-22,5.125,112,80,0,0,7.813,['United States of America'],"['Twisted Pictures', 'Protocol Entertainment', 'Parismony Pictures']","['Horror', 'Mystery', 'Thriller']"
Band of Robbers,"A comedic thriller that re-imagines Mark Twain's iconic literary characters of ""Huckleberry Finn"" and ""Tom Sawyer"" as grown men in current day.",2016-01-15,5.902,112,95,0,0,7.306,['United States of America'],"['Tilted Windmill Productions', 'Whitewater Films', 'Torn Sky Entertainment']","['Adventure', 'Comedy', 'Crime', 'Thriller']"
Back in the Day,A young boxer is taken under the wing of a mob boss after his mother dies and his father is run out of town for being an abusive alcoholic.,2016-05-20,2.968,111,121,0,0,10.589,['United States of America'],[],['Drama']
Holy Hell,An inside look at a West Hollywood cult formed by a charismatic teacher in the 1980s that eventually imploded.,2016-01-25,6.645,110,100,0,16905,5.807,['United States of America'],"['Whitewater Films', 'WRA Productions', 'Very Special Projects', 'CNN Films']",['Documentary']
Carnage Park,"Part crime caper gone awry, part survival horror film, this 1970s set thriller depicts a harrowing fight for survival after a pair of wannabe crooks botch a bank heist and flee into the desert, where they inexplicably stumble upon Carnage Park, a remote stretch of wilderness occupied by a psychotic ex-military sniper.",2016-07-01,5.255,110,81,0,0,8.399,['United States of America'],['Diablo Entertainment'],"['Action', 'Crime', 'Horror', 'Thriller']"
Antibirth,"In a desolate community full of drug-addled Marines and rumors of kidnapping, a wild-eyed stoner named Lou wakes up after a crazy night of partying with symptoms of a strange illness and recurring visions. As she struggles to get a grip on reality, the stories of conspiracy spread.",2016-09-02,4.9,110,94,35000000,0,7.622,"['Canada', 'United States of America']","['Culmination Productions', 'Traverse Media', 'Hideaway Pictures']",['Horror']
Attack of the Killer Donuts,"A chemical accident turns ordinary donuts into blood thirsty killers. Now it's up to Johnny, Michelle and Howard to save their sleepy town from...Killer Donuts.",2016-07-17,4.289,109,98,0,0,9.889,['United States of America'],"['Restless Nomad Films', 'Rogue State', 'Level 33']","['Comedy', 'Horror']"
Mothers and Daughters,Interwoven stories of what it is to be a mom seen through the lens of photographer Rigby Gray.,2016-05-06,5.362,109,90,0,0,8.028,['United States of America'],"['Screen Media Films', 'Siempre Viva Productions']",['Drama']
The Fits,"While training at the gym, 11-year-old tomboy Toni becomes entranced with a dance troupe. As she struggles to fit in, she finds herself caught up in danger as the group begins to suffer from fainting spells and other violent fits.",2016-01-22,6.421,108,72,170000,169242,4.879,['United States of America'],"[""Yes Ma'am Productions"", 'Cinereach', 'Oscilloscope']",['Drama']
Anesthesia,Multiple lives intersect in the aftermath of the violent mugging of a Columbia University philosophy professor.,2016-01-08,5.704,108,90,0,32163,7.846,['United States of America'],['Hello Please'],"['Drama', 'Thriller']"
Until Forever,"Until Forever: The Michael Boyum Story is a powerful, true account of one young man's courageous battle with leukemia and his journey of faith.",2016-10-20,7.6,106,100,0,0,7.285,['United States of America'],['Linn Productions'],"['Drama', 'Romance']"
